file,sha256,purpose
E01-dns-telemetry-readiness.png,09b5d15bf3613afca376e0e1c5b0bd1771b2be7a00932cd9c0b7a5ef8d9eae76,Unbound DNS telemetry health before live investigation.
E02-vpc-flow-telemetry-readiness.png,db57396ff18a7fa61c5343fd95b6010dac912fed4ed6225bad74a111fba4e46d,VPC Flow telemetry health before live investigation.
E03-live-fast-flux-alert-36.png,56dc2d7f3cd970de1cbb03c469a6bff697d61928e16a318e924dcb7a6ebf273e,First live Scenario 03 alert lead with 36 matched connections.
E04-raw-dns-flux-domain.png,8c139db1b901f88e6aa9e06be16a7b4874d42a6b11570ced0803f57d6d88071f,Raw Unbound activity for the Scenario 03 domain.
E05-dns-expanded-fields.png,93e894bfcaa7a558de6d4ebb92d7db31cac4b512ff078fcc4691f3f16c4a80c1,Expanded DNS fields and answer-IP visibility limitation.
E06-repeated-alert-42.png,d93ed8c338f2f6c0774287ff7629aaa1fefbae0593b41ca87894aa53ff153d8e,"Repeated trigger/update for the same 12:50 bucket, now 42 matched connections."
E07-vpc-flow-raw-three-ips.png,73b63410c945a9c0af43bd15d92f93492990641fc3abc4bbd51fcb6e07c8d343,Raw allowed TCP/80 flows from victim to the three alert IPs.
E08-vpc-flow-summary-three-ips.png,560db797e3f02cf39b7e2fbf47b71c6aae0d3cf977131d65ef1777465f8aa46a,Per-IP manual VPC Flow summary with counts and first/last seen.
E09-benign-lookup-contents.png,14a58291018766e72898771cd307f8ff91180b1939126270baf08d6f600fbcf5,Configured benign dynamic-domain tuning lookup contents.
E10-benign-lookup-no-match.png,c2bedb6d9bc4239b30b3b305d2f9f2b82d46478a093ce5ea4d9744efbf876852,Scenario domain absent from benign lookup.
E11-scope-single-client.png,3874af3f3898f33438481d1846fba583dc834a54fd404c7b4611d3e73882a94e,Scope limited to one internal client.
E12-scope-a-noerror.png,c951c51949c65e182159e0cf2de0199eadc96b6ea746065bdd25bbbc101ff205,Single-client A-query / NOERROR scope detail.
E13-baseline-top-domains.png,d2cdf22531e6d9d3f02c91f15bbfe183a8fa5175285bdecdf2e7ab72508b1e49,Scenario-domain query volume versus other client A-query domains.
E14-baseline-deviation.png,16f0ba059599bab976393e8f304a84050906f776d55a81e72a377b334d8432bb,Supporting baseline deviation view.
E15-ai-pipeline-events.png,3ea426cb90ee599b90a190d89ff6cc0d6f6fca3013b001c2afec63a9361711eb,AI triage events present with human validation requirement.
E16-ai-expanded-fields-1.png,c02de3f0633e95b1e184a60909fa97bd712c06a90a6ec3f3038cc8d643c6c006,Expanded AI context and evidence-limit fields.
E17-ai-expanded-fields-2.png,b5317e67f0317d624dc297955aeec0eb5688d2908297002383d90bff8cd74f0e,Expanded AI summary/reasoning fields.
E18-ai-raw-json.png,135b14f36e3029e37c02cf685c6a2c837c791ae428d20067860ce8321b2fa4ea,Raw AI JSON used for human validation.
ai-triage-export.csv,2a3282057b1be9b0a6258e7520d264dd8eaa6ec08b8f2c25a73e062e0cee42cd,Structured AI triage export.
alerts/live-fast-flux-alert-36.pdf,95547ca377ef34f30810ff3c8912c843835d5921a272451a75ff91ae6c1c6529,Preserved first live Fast Flux alert PDF.
alerts/repeated-fast-flux-alert-42.pdf,0ebcab605e774012e0f5cf08b5a92a16b9da2ffd8424f089d38652982cc2a8d7,Preserved repeated alert/update PDF.
